gameid,playerid,position,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,wardskilled,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,deathsat15
ESPORTSTMNT03_3087532,47,sup,1,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3373,117.6628,0.049177,145.814,40,1.3953,15,13,81,2.8256,7593,3809,132.8721,0.0959732,7125,15.0,15.0,0,0.5233,1883.0,2312.0,2.0,-92.0,0.0,0.0,0.0,2.0,2992.0,3532.0,6.0,30.0,1.0,0.0,0.0,2.0,2.0
ESPORTSTMNT03_3087532,43,top,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11669,407.0581,0.271145,780.8023,13,0.4535,5,5,31,1.0814,10165,6381,222.593,0.247848,9525,225.0,225.0,0,7.8488,3025.0,4743.0,72.0,32.0,-6.0,0.0,0.0,1.0,4983.0,7695.0,118.0,96.0,-18.0,0.0,0.0,1.0,1.0
ESPORTSTMNT03_3087532,37,jng,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840,133.9535,0.0892276,817.4651,9,0.314,13,7,50,1.7442,8023,4239,147.8721,0.164644,7100,156.0,16.0,140,5.4419,2998.0,3110.0,65.0,-469.0,4.0,0.0,1.0,0.0,4454.0,5110.0,96.0,-156.0,2.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3087532,40,mid,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9444,329.4419,0.219444,534.3488,21,0.7326,2,7,31,1.0814,9089,5305,185.0581,0.206052,8700,209.0,209.0,0,7.2907,3077.0,4560.0,74.0,-223.0,-18.0,0.0,1.0,0.0,4645.0,6992.0,117.0,-654.0,-32.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3087532,7,bot,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13221,461.1977,0.307208,615.4535,14,0.4884,6,6,28,0.9767,11185,7401,258.1744,0.287469,10795,237.0,233.0,4,8.2674,3671.0,3376.0,74.0,551.0,-1.0,1.0,1.0,0.0,5559.0,5702.0,120.0,977.0,1.0,2.0,1.0,0.0,0.0
ESPORTSTMNT03_3087532,20,sup,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4862,169.6047,0.112975,372.7326,38,1.3256,5,11,59,2.0581,6204,2420,84.4186,0.093987,5960,11.0,11.0,0,0.3837,2546.0,2404.0,2.0,92.0,0.0,1.0,1.0,0.0,3632.0,3502.0,5.0,-30.0,-1.0,1.0,2.0,0.0,0.0
ESPORTSTMNT03_3087549,27,top,3,1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14290,461.7124,0.198334,439.8061,13,0.42,12,5,53,1.7124,11801,7737,249.9838,0.190534,10683,246.0,234.0,12,7.9483,3087.0,4649.0,83.0,-163.0,-7.0,0.0,0.0,0.0,4833.0,7675.0,137.0,-349.0,-8.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3087549,30,jng,1,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17970,580.6139,0.24941,964.6527,10,0.3231,12,8,47,1.5186,12040,7976,257.706,0.196419,10300,217.0,41.0,176,7.0113,3060.0,3000.0,60.0,-442.0,-5.0,0.0,1.0,0.0,4807.0,5966.0,108.0,467.0,10.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3087549,39,mid,3,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10680,345.0727,0.14823,401.9386,15,0.4847,4,8,36,1.1632,12779,8715,281.5832,0.214618,11850,278.0,274.0,4,8.9822,3840.0,4508.0,84.0,-453.0,-2.0,2.0,0.0,0.0,5683.0,7252.0,140.0,-647.0,0.0,2.0,0.0,1.0,1.0
ESPORTSTMNT03_3087549,9,bot,10,3,5,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,25205,814.378,0.349827,498.3522,20,0.6462,17,11,62,2.0032,16418,12354,399.1599,0.304232,15075,272.0,262.0,10,8.7884,4061.0,3518.0,85.0,388.0,13.0,1.0,2.0,1.0,6680.0,6346.0,144.0,1288.0,29.0,1.0,2.0,1.0,1.0
ESPORTSTMNT03_3087549,35,sup,0,1,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3905,126.1712,0.0541985,253.3764,45,1.454,6,16,76,2.4556,7889,3825,123.5864,0.0941971,7285,6.0,6.0,0,0.1939,2366.0,2215.0,1.0,377.0,0.0,0.0,3.0,0.0,3327.0,3554.0,5.0,243.0,-2.0,0.0,3.0,0.0,0.0
