gameid,playoffs,game,patch,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,teamid_blue,top_red,jng_red,mid_red,bot_red,sup_red,teamid_red,result
ESPORTSTMNT04_2430692,0,1,12.12,72,36,44,3,21,12,46,10,5,69,67,2,0
ESPORTSTMNT04_2430703,0,1,12.12,13,41,62,7,70,4,33,43,66,18,30,3,1
ESPORTSTMNT04_2430723,0,1,12.12,63,49,51,4,50,6,34,6,61,48,1,0,0
ESPORTSTMNT05_2940471,0,1,12.12,38,42,76,8,25,5,72,36,44,3,21,12,1
ESPORTSTMNT05_2940485,0,1,12.12,34,6,61,48,1,0,13,41,62,7,70,4,1
ESPORTSTMNT05_2940496,0,1,12.12,15,58,64,26,29,10,35,54,0,2,16,7,0
ESPORTSTMNT05_2940522,0,1,12.12,46,10,5,69,67,2,63,19,51,4,31,6,1
ESPORTSTMNT05_2940545,0,1,12.12,33,43,66,18,30,3,22,20,57,55,40,11,0
ESPORTSTMNT05_2940652,0,1,12.12,13,41,62,7,70,4,63,19,51,4,31,6,0
ESPORTSTMNT05_2940663,0,1,12.12,33,43,66,18,30,3,35,54,0,2,16,7,1
ESPORTSTMNT05_2940678,0,1,12.12,22,20,57,55,40,11,34,6,61,48,1,0,0
ESPORTSTMNT05_2940695,0,1,12.12,15,11,64,26,29,10,72,36,44,3,21,12,0
ESPORTSTMNT05_2940706,0,1,12.12,38,42,76,8,25,5,46,10,5,69,67,2,0
ESPORTSTMNT05_2952661,0,1,12.12,71,42,76,8,25,5,15,11,64,26,29,10,1
ESPORTSTMNT05_2952682,0,1,12.12,46,10,5,69,67,2,13,41,62,7,70,4,1
ESPORTSTMNT05_2952699,0,1,12.12,63,65,51,4,77,6,22,20,57,55,40,11,0
ESPORTSTMNT05_2952730,0,1,12.12,35,54,0,2,16,7,34,6,61,48,1,0,0
ESPORTSTMNT05_2952770,0,1,12.12,72,36,44,3,21,12,33,43,66,18,30,3,0
ESPORTSTMNT05_2942917,0,1,12.12,15,58,64,26,29,10,46,10,5,69,67,2,0
ESPORTSTMNT05_2942940,0,1,12.12,33,43,66,18,30,3,71,42,76,8,25,5,1
ESPORTSTMNT05_2942953,0,1,12.12,34,6,61,48,1,0,72,36,44,3,21,12,1
ESPORTSTMNT05_2942985,0,1,12.12,22,20,57,55,40,11,13,41,62,7,70,4,0
ESPORTSTMNT05_2943011,0,1,12.12,63,65,51,4,77,6,35,54,0,2,16,7,0
ESPORTSTMNT06_2540375,0,1,12.13,38,42,76,8,25,5,34,6,61,48,1,0,0
ESPORTSTMNT06_2540393,0,1,12.13,46,10,5,69,67,2,22,20,57,55,40,11,0
ESPORTSTMNT06_2540411,0,1,12.13,15,11,64,26,29,10,33,43,66,18,30,3,0
ESPORTSTMNT06_2540426,0,1,12.13,72,36,44,3,21,12,63,65,51,4,77,6,1
ESPORTSTMNT06_2540444,0,1,12.13,35,54,0,2,16,7,13,41,62,7,70,4,0
ESPORTSTMNT06_2530590,0,1,12.13,33,43,66,18,30,3,46,10,5,69,67,2,0
ESPORTSTMNT06_2530612,0,1,12.13,34,6,61,48,1,0,15,11,64,26,29,10,1
ESPORTSTMNT06_2530618,0,1,12.13,13,41,62,7,70,4,72,36,44,3,21,12,1
ESPORTSTMNT06_2530630,0,1,12.13,22,20,57,55,40,11,35,54,0,2,16,7,1
ESPORTSTMNT06_2530656,0,1,12.13,63,65,51,4,77,6,71,42,76,8,25,5,0
ESPORTSTMNT06_2531505,0,1,12.13,72,36,44,3,21,12,22,20,57,55,40,11,0
ESPORTSTMNT06_2531522,0,1,12.13,15,11,64,26,29,10,63,65,51,4,77,6,0
ESPORTSTMNT06_2531539,0,1,12.13,46,10,5,69,67,2,35,54,0,2,16,7,0
ESPORTSTMNT06_2531557,0,1,12.13,71,42,76,8,25,5,13,41,62,7,70,4,0
ESPORTSTMNT06_2531561,0,1,12.13,33,43,66,18,30,3,34,6,61,48,1,8,0
ESPORTSTMNT06_2531658,0,1,12.13,35,54,0,2,16,7,72,36,44,3,21,12,0
ESPORTSTMNT06_2531669,0,1,12.13,63,65,51,4,77,6,33,43,66,18,30,3,0
ESPORTSTMNT06_2531681,0,1,12.13,13,41,62,7,70,4,15,58,64,26,29,10,1
ESPORTSTMNT06_2531694,0,1,12.13,34,6,61,48,1,8,46,10,5,69,67,2,1
ESPORTSTMNT06_2531704,0,1,12.13,22,20,57,55,40,11,38,42,76,8,25,5,0
ESPORTSTMNT04_2450239,0,1,12.14,34,6,61,48,1,8,63,65,51,4,77,6,1
ESPORTSTMNT04_2450274,0,1,12.14,71,42,76,8,25,5,35,54,0,2,16,7,1
ESPORTSTMNT04_2450302,0,1,12.14,15,11,64,32,37,10,22,20,57,55,40,11,0
ESPORTSTMNT04_2450317,0,1,12.14,33,43,66,18,30,3,13,41,62,7,70,4,0
ESPORTSTMNT04_2450333,0,1,12.14,46,10,5,69,67,2,72,36,44,3,21,12,1
ESPORTSTMNT04_2470389,0,1,12.14,22,20,57,55,40,11,33,43,66,18,30,3,1
ESPORTSTMNT04_2470399,0,1,12.14,63,65,51,4,77,6,46,10,5,69,67,2,1
ESPORTSTMNT04_2470413,0,1,12.14,72,36,44,3,21,12,71,42,76,8,25,5,0
ESPORTSTMNT04_2470430,0,1,12.14,35,54,0,2,16,7,15,11,64,26,37,10,1
ESPORTSTMNT04_2470433,0,1,12.14,13,41,62,7,70,4,34,6,61,48,1,8,1
ESPORTSTMNT04_2451020,1,1,12.14,22,20,57,55,40,11,33,43,66,78,30,3,1
ESPORTSTMNT04_2451041,1,2,12.14,33,43,66,18,30,3,22,20,57,55,40,11,0
ESPORTSTMNT04_2451054,1,3,12.14,22,20,57,55,40,11,33,43,66,18,30,3,1
ESPORTSTMNT04_2471308,1,1,12.14,34,6,61,48,1,8,46,10,5,69,67,2,1
ESPORTSTMNT04_2471331,1,2,12.14,34,6,61,48,1,8,46,10,5,69,67,2,0
ESPORTSTMNT04_2471344,1,3,12.14,34,6,61,48,1,8,46,10,5,69,67,2,0
ESPORTSTMNT04_2471358,1,4,12.14,34,6,61,48,1,8,46,10,5,69,67,2,0
ESPORTSTMNT04_2471439,1,1,12.14,71,42,76,8,25,5,13,41,62,7,70,4,1
ESPORTSTMNT04_2471461,1,2,12.14,71,42,76,8,25,5,13,41,62,7,70,4,0
ESPORTSTMNT04_2471475,1,3,12.14,71,42,76,8,25,5,13,41,62,7,70,4,0
ESPORTSTMNT04_2471486,1,4,12.14,71,42,76,8,25,5,13,41,62,7,70,4,0
ESPORTSTMNT04_2451733,1,1,12.14,71,42,76,8,25,5,22,20,57,55,40,11,1
ESPORTSTMNT04_2451745,1,2,12.14,22,20,57,55,40,11,71,42,76,8,25,5,1
ESPORTSTMNT04_2451746,1,3,12.14,71,42,76,8,25,5,22,20,57,55,40,11,1
ESPORTSTMNT04_2451749,1,4,12.14,22,20,57,55,40,11,71,42,76,8,25,5,0
ESPORTSTMNT04_2451785,1,1,12.14,13,41,62,7,70,4,46,10,5,69,67,2,1
ESPORTSTMNT04_2451797,1,2,12.14,46,10,5,69,67,2,13,41,62,7,70,4,1
